0.79,1.00,nan,nan,nan,nan,nan,nan
0.88,1.00,nan,nan,nan,nan,nan,nan
0.85,1.00,nan,nan,nan,nan,nan,nan
0.80,1.00,nan,nan,nan,nan,nan,nan
0.74,1.00,nan,nan,nan,nan,nan,nan
0.52,1.00,nan,nan,nan,nan,nan,nan
0.70,1.00,nan,nan,nan,nan,nan,nan
0.81,1.00,nan,nan,nan,nan,nan,nan
0.80,1.00,nan,nan,nan,nan,nan,nan
0.81,1.00,nan,nan,nan,nan,nan,nan
0.85,1.00,nan,nan,nan,nan,nan,nan
0.92,1.00,nan,nan,nan,nan,nan,nan
0.97,1.00,nan,nan,nan,nan,nan,nan
0.97,1.00,nan,nan,nan,nan,nan,nan
0.83,1.00,nan,nan,nan,nan,nan,nan
0.89,1.00,0.87,nan,nan,nan,nan,nan
0.86,1.00,0.88,nan,nan,nan,nan,nan
0.89,1.00,0.87,nan,nan,nan,nan,nan
0.85,1.00,0.84,nan,nan,nan,nan,nan
0.67,1.00,0.84,nan,nan,nan,nan,nan
0.64,1.00,0.73,nan,nan,nan,nan,nan
0.79,1.00,0.75,nan,nan,nan,nan,nan
0.87,1.00,0.74,nan,nan,nan,nan,nan
0.80,1.00,0.76,nan,nan,nan,nan,nan
0.78,1.00,0.82,nan,nan,nan,nan,nan
0.81,1.00,0.93,nan,nan,nan,nan,nan
0.89,1.00,0.97,nan,nan,nan,nan,nan
0.93,1.00,nan,nan,nan,nan,nan,nan
0.83,1.00,nan,nan,nan,nan,nan,nan
0.90,1.00,0.90,nan,nan,nan,nan,nan
0.95,1.00,0.90,0.88,nan,nan,nan,nan
0.95,1.00,0.91,0.87,nan,nan,nan,nan
0.94,1.00,0.89,0.88,0.59,nan,nan,nan
0.90,1.00,0.84,0.78,0.48,nan,nan,nan
0.82,1.00,0.62,0.71,0.47,nan,nan,nan
0.90,1.00,0.83,0.81,0.50,nan,nan,nan
0.97,1.00,0.82,0.74,0.54,nan,nan,nan
0.94,1.00,0.80,0.77,0.65,nan,nan,nan
0.96,1.00,0.77,0.73,0.65,nan,nan,nan
0.96,1.00,0.76,0.74,0.72,nan,nan,nan
0.97,1.00,0.82,0.86,nan,nan,nan,nan
0.98,1.00,nan,nan,nan,nan,nan,nan
0.88,1.00,nan,nan,nan,nan,nan,nan
0.92,1.00,0.84,nan,nan,nan,nan,nan
0.96,1.00,0.93,0.88,nan,nan,nan,nan
0.96,1.00,0.96,0.90,nan,nan,nan,nan
0.96,1.00,0.97,0.92,0.66,nan,nan,nan
0.94,1.00,0.95,0.89,0.68,0.48,nan,nan
0.84,1.00,0.64,0.81,0.53,0.27,nan,nan
0.80,1.00,0.95,0.91,0.73,0.51,nan,nan
0.96,1.00,0.91,0.83,0.69,0.44,nan,nan
0.91,1.00,0.90,0.69,0.56,0.40,nan,nan
0.92,1.00,0.89,0.68,0.59,0.45,nan,nan
0.97,1.00,0.91,0.82,0.79,0.58,nan,nan
0.98,1.00,0.96,0.85,nan,nan,nan,nan
0.98,1.00,nan,nan,nan,nan,nan,nan
0.90,1.00,nan,nan,nan,nan,nan,nan
0.91,1.00,0.80,nan,nan,nan,nan,nan
0.95,1.00,0.93,0.90,nan,nan,nan,nan
0.96,1.00,0.96,0.90,nan,nan,nan,nan
0.97,1.00,0.96,0.92,0.79,nan,nan,nan
0.95,1.00,0.94,0.88,0.75,0.65,nan,nan
0.81,1.00,0.64,0.85,0.68,0.50,0.16,nan
0.86,1.00,0.92,0.76,0.74,0.61,0.35,nan
0.89,1.00,0.87,0.36,0.39,0.21,0.08,nan
0.93,1.00,0.92,0.43,0.53,0.22,0.06,nan
0.92,1.00,0.91,0.53,0.58,0.39,0.08,nan
0.90,1.00,0.79,0.30,0.40,0.26,nan,nan
0.96,1.00,0.82,0.70,nan,nan,nan,nan
0.97,1.00,nan,nan,nan,nan,nan,nan
0.89,1.00,nan,nan,nan,nan,nan,nan
0.91,1.00,0.82,nan,nan,nan,nan,nan
0.93,1.00,0.92,0.75,nan,nan,nan,nan
0.94,1.00,0.93,0.75,nan,nan,nan,nan
0.96,1.00,0.94,0.77,0.55,nan,nan,nan
0.93,1.00,0.92,0.69,0.58,0.50,nan,nan
0.83,1.00,0.76,0.74,0.70,0.67,0.38,nan
0.90,1.00,0.86,0.73,0.75,0.55,0.44,0.29
0.96,1.00,0.92,0.84,0.76,0.55,0.31,0.17
0.95,1.00,0.91,0.83,0.73,0.35,0.30,0.24
0.94,1.00,0.91,0.78,0.53,0.41,0.34,nan
0.92,1.00,0.84,0.74,0.53,0.42,nan,nan
0.74,1.00,0.64,0.64,nan,nan,nan,nan
0.96,1.00,nan,nan,nan,nan,nan,nan
0.88,1.00,nan,nan,nan,nan,nan,nan
0.92,1.00,0.84,nan,nan,nan,nan,nan
0.91,1.00,0.89,0.66,nan,nan,nan,nan
0.90,1.00,0.91,0.69,nan,nan,nan,nan
0.84,1.00,0.82,0.62,0.51,nan,nan,nan
0.89,1.00,0.82,0.79,0.77,0.66,nan,nan
0.91,1.00,0.93,0.91,0.85,0.74,0.41,nan
0.96,1.00,0.88,0.82,0.83,0.71,0.31,0.23
0.94,1.00,0.92,0.87,0.68,0.46,0.23,0.19
0.95,1.00,0.92,0.86,0.78,0.40,0.27,0.21
0.94,1.00,0.90,0.79,0.46,0.37,0.29,nan
0.93,1.00,0.86,0.70,0.42,0.39,nan,nan
0.79,1.00,0.68,0.68,nan,nan,nan,nan
0.95,1.00,nan,nan,nan,nan,nan,nan
0.92,1.00,nan,nan,nan,nan,nan,nan
0.94,1.00,0.88,nan,nan,nan,nan,nan
0.95,1.00,0.91,0.69,nan,nan,nan,nan
0.91,1.00,0.94,0.74,nan,nan,nan,nan
0.86,1.00,0.92,0.78,0.73,nan,nan,nan
0.91,1.00,0.80,0.79,0.70,0.52,nan,nan
0.93,1.00,0.96,0.91,0.76,0.64,0.25,nan
0.97,1.00,0.94,0.87,0.81,0.74,0.31,0.29
0.93,1.00,0.91,0.85,0.42,0.32,0.27,0.21
0.95,1.00,0.93,0.87,0.63,0.36,0.33,0.18
0.95,1.00,0.93,0.84,0.49,0.37,0.24,nan
0.93,1.00,0.90,0.71,0.33,0.38,nan,nan
0.80,1.00,0.79,0.65,nan,nan,nan,nan
0.95,1.00,nan,nan,nan,nan,nan,nan
0.92,1.00,nan,nan,nan,nan,nan,nan
0.93,1.00,0.87,nan,nan,nan,nan,nan
0.95,1.00,0.91,0.81,nan,nan,nan,nan
0.94,1.00,0.94,0.82,nan,nan,nan,nan
0.92,1.00,0.92,0.84,0.64,nan,nan,nan
0.91,1.00,0.88,0.81,0.65,0.47,nan,nan
0.87,1.00,0.86,0.81,0.70,0.53,0.32,nan
0.95,1.00,0.94,0.73,0.75,0.65,0.31,nan
0.95,1.00,0.88,0.78,0.48,0.45,0.23,nan
0.96,1.00,0.93,0.75,0.60,0.38,0.24,nan
0.94,1.00,0.94,0.73,0.53,0.29,0.12,nan
0.91,1.00,0.94,0.65,0.40,0.19,nan,nan
0.87,1.00,0.90,0.54,nan,nan,nan,nan
0.95,1.00,nan,nan,nan,nan,nan,nan
0.88,1.00,nan,nan,nan,nan,nan,nan
0.91,1.00,0.83,nan,nan,nan,nan,nan
0.93,1.00,0.89,0.81,nan,nan,nan,nan
0.92,1.00,0.92,0.84,nan,nan,nan,nan
0.91,1.00,0.90,0.83,0.62,nan,nan,nan
0.89,1.00,0.86,0.78,0.60,0.31,nan,nan
0.82,1.00,0.74,0.71,0.56,0.40,nan,nan
0.91,1.00,0.85,0.68,0.66,0.49,nan,nan
0.94,1.00,0.85,0.79,0.49,0.37,nan,nan
0.93,1.00,0.92,0.76,0.40,0.31,nan,nan
0.91,1.00,0.93,0.73,0.45,0.23,nan,nan
0.90,1.00,0.93,0.60,0.40,0.09,nan,nan
0.84,1.00,0.92,0.48,nan,nan,nan,nan
0.72,1.00,nan,nan,nan,nan,nan,nan
0.75,1.00,nan,nan,nan,nan,nan,nan
0.81,1.00,0.81,nan,nan,nan,nan,nan
0.83,1.00,0.79,0.63,nan,nan,nan,nan
0.82,1.00,0.89,0.77,nan,nan,nan,nan
0.83,1.00,0.92,0.84,0.60,nan,nan,nan
0.85,1.00,0.91,0.80,0.56,nan,nan,nan
0.67,1.00,0.74,0.63,0.35,nan,nan,nan
0.87,1.00,0.90,0.77,0.68,nan,nan,nan
0.89,1.00,0.82,0.60,0.41,nan,nan,nan
0.89,1.00,0.71,0.46,0.44,nan,nan,nan
0.88,1.00,0.73,0.45,0.53,nan,nan,nan
0.83,1.00,0.79,0.37,0.43,nan,nan,nan
0.82,1.00,0.84,0.32,nan,nan,nan,nan
0.63,1.00,nan,nan,nan,nan,nan,nan
0.63,1.00,nan,nan,nan,nan,nan,nan
0.68,1.00,0.73,nan,nan,nan,nan,nan
0.71,1.00,0.70,0.60,nan,nan,nan,nan
0.70,1.00,0.78,0.55,nan,nan,nan,nan
0.90,1.00,0.87,0.74,nan,nan,nan,nan
0.94,1.00,0.92,0.73,nan,nan,nan,nan
0.85,1.00,0.79,0.61,nan,nan,nan,nan
0.79,1.00,0.90,0.76,nan,nan,nan,nan
0.75,1.00,0.79,0.56,nan,nan,nan,nan
0.81,1.00,0.74,0.47,nan,nan,nan,nan
0.85,1.00,0.72,0.45,nan,nan,nan,nan
0.88,1.00,0.74,0.32,nan,nan,nan,nan
0.90,1.00,0.79,0.29,nan,nan,nan,nan
0.68,1.00,nan,nan,nan,nan,nan,nan
0.71,1.00,nan,nan,nan,nan,nan,nan
0.76,1.00,0.80,nan,nan,nan,nan,nan
0.74,1.00,0.84,nan,nan,nan,nan,nan
0.78,1.00,0.87,nan,nan,nan,nan,nan
0.71,1.00,0.84,nan,nan,nan,nan,nan
0.83,1.00,0.77,nan,nan,nan,nan,nan
0.79,1.00,0.81,nan,nan,nan,nan,nan
0.84,1.00,0.89,nan,nan,nan,nan,nan
0.84,1.00,0.85,nan,nan,nan,nan,nan
0.74,1.00,0.72,nan,nan,nan,nan,nan
0.78,1.00,0.70,nan,nan,nan,nan,nan
0.78,1.00,0.73,nan,nan,nan,nan,nan
0.77,1.00,0.84,nan,nan,nan,nan,nan
0.88,1.00,nan,nan,nan,nan,nan,nan
0.84,1.00,nan,nan,nan,nan,nan,nan
0.84,1.00,nan,nan,nan,nan,nan,nan
0.83,1.00,nan,nan,nan,nan,nan,nan
0.84,1.00,nan,nan,nan,nan,nan,nan
0.87,1.00,nan,nan,nan,nan,nan,nan
0.89,1.00,nan,nan,nan,nan,nan,nan
0.89,1.00,nan,nan,nan,nan,nan,nan
0.90,1.00,nan,nan,nan,nan,nan,nan
0.90,1.00,nan,nan,nan,nan,nan,nan
0.87,1.00,nan,nan,nan,nan,nan,nan
0.86,1.00,nan,nan,nan,nan,nan,nan
0.87,1.00,nan,nan,nan,nan,nan,nan
0.90,1.00,nan,nan,nan,nan,nan,nan
0.91,1.00,nan,nan,nan,nan,nan,nan
